Year,CP,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2001","18454","London","Westminster","A501","PU","528800","182200","A501","A4201","0.12","65","172","2264","24","95","294","166","5","5","3","0","473","3028"
"2001","18478","London","Westminster","A5","PU","526000","182930","B414","A5205","0.8","255","359","4578","157","795","163","11","6","14","6","9","208","6098"
"2001","18664","London","Westminster","A3214","PU","530000","179686","Horse Guards Road","Parliament Sq","0.18","64","101","1133","0","13","44","29","1","0","0","0","73","1320"
"2001","18738","London","Westminster","A3213","PU","528600","178960","Hobart Place","A3214","0.24","46","71","1224","26","181","36","3","1","1","1","2","44","1546"
"2001","26114","London","Westminster","A4","PU","529395","180534","St James St","Regent Street/ Picc Circus","0.31","188","252","1579","236","301","34","3","1","1","0","0","40","2407"
"2001","26146","London","Westminster","A5","PU","527180","181580","Praed St","A501/A4209","0.12","91","66","1242","72","113","20","5","2","1","1","2","30","1523"
"2001","26429","London","Westminster","A501","PU","527600","181860","Old Marylebone Rd","A41 Gloucester Place","0.24","97","339","6389","117","1025","204","17","26","17","11","12","288","8159"
"2001","26432","London","Westminster","A402","PU","527000","180830","Westbourne Street","Marble Arch","0.68","183","551","7439","282","1210","195","12","6","5","2","3","222","9704"
"2001","26464","London","Westminster","A41","PU","527910","182000","Gloucester Place","Marylebone Rd","0.31","35","82","1602","113","130","31","0","1","1","1","1","36","1963"
"2001","26465","London","Westminster","A41","PU","528030","181100","A40","A5204","0.12","37","48","699","73","90","14","2","2","1","0","0","20","930"
"2001","27236","London","Westminster","A501","PU","528000","182004","Baker St","Park Crescent (mid-junction)","0.49","265","660","10167","280","1912","287","30","27","17","15","11","386","13405"
"2001","27663","London","Westminster","A3212","PU","530150","180000","A302","Northumberland Ave","0.49","643","843","5507","779","1009","183","17","5","2","3","2","213","8351"
"2001","27667","London","Westminster","A3217","PU","528340","179000","LA Boundary","Ecclestone St","0.31","157","185","1860","15","238","46","7","1","0","0","0","54","2353"
"2001","27735","London","Westminster","A4206","PU","526400","181500","A4205","A40","0.18","20","58","1985","8","244","36","2","1","0","0","0","40","2335"
"2001","27787","London","Westminster","A5205","PU","528000","183640","A41","LA Boundary","0.93","170","390","6328","139","1318","209","13","9","4","1","0","235","8410"
"2001","28121","London","Westminster","A5204","PU","529193","181549","A4201","LA Boundary","0.24","167","257","945","4","174","53","4","0","0","0","0","57","1438"
"2001","28477","London","Westminster","A4","PU","529730","180540","Piccadilly Circus","Pall Mall East","0.24","92","212","1776","233","300","86","5","3","1","1","1","96","2617"
"2001","28513","London","Westminster","A302","PU","529060","179150","Wilton Rd/Vauxhall Bridge Rd","Bressenden Place","0.06","8","28","509","26","90","17","2","1","1","1","0","22","675"
"2001","28514","London","Westminster","A5204","PU","528114","181216","A41","A41","0.12","38","41","370","0","10","32","23","1","0","0","0","56","478"
"2001","36150","London","Westminster","A5","PU","527700","181040","A5204","Marble Arch","0.12","37","78","1051","89","219","36","5","2","3","2","2","50","1486"
"2001","36435","London","Westminster","A40","PU","528150","181050","A41","A41","0.12","65","27","461","174","45","8","1","0","1","0","0","10","718"
"2001","36436","London","Westminster","A402","PU","525962","180603","LA Boundary","Westbourne St/Lancaster Terrace","0.8","912","966","7826","317","1203","243","17","5","3","2","1","270","10581"
"2001","36471","London","Westminster","A41","PU","528200","181100","A40","A5204","0.12","16","46","526","47","83","13","1","1","1","0","0","17","719"
"2001","36796","London","Westminster","A202","PU","529080","179000","Victoria St/Wilton Rd","Wilton Rd","0.12","21","54","759","38","152","29","4","2","1","1","1","38","1040"
"2001","37704","London","Westminster","A3212","PU","530200","178600","A202","A3203","0.49","150","462","4416","148","971","164","28","4","4","4","3","206","6204"
"2001","37706","London","Westminster","A202","PU","529050","179270","Buckingham Palace Rd","Victoria St","0.12","33","68","823","39","212","28","5","2","1","1","1","38","1180"
"2001","37774","London","Westminster","A4201","PU","528970","181400","A40","A5204","0.12","135","144","696","42","168","21","2","1","0","0","0","24","1074"
"2001","37775","London","Westminster","A4205","PU","527000","181500","A4206","Edgware Rd","0.68","113","55","1007","130","124","54","6","1","1","0","0","63","1378"
"2001","37776","London","Westminster","A4206","PU","526000","181300","A4207","A4205","0.68","238","197","2685","216","546","78","21","2","2","1","2","107","3751"
"2001","37914","London","Westminster","A400","PU","529864","181203","A401","Andrew Borde St","0.18","56","58","354","85","67","25","1","0","0","0","0","27","592"
"2001","38167","London","Westminster","A41","PU","526997","182978","A5205","LA Boundary","0.74","54","236","6505","332","687","106","11","8","12","4","6","147","7906"
"2001","38177","London","Westminster","A4","PU","529470","180208","Piccadilly","Waterloo Pl","0.49","101","532","3555","79","612","100","10","4","1","1","0","116","4894"
"2001","38534","London","Westminster","A4","PU","529930","180400","Pall Mall","Northumberland ave","0.18","74","362","2445","107","369","114","7","5","1","1","0","128","3411"
"2001","38630","London","Westminster","A41","PU","527143","182845","Prince Albert Rd","St Johns Wood Road","0.06","27","34","847","38","126","15","2","1","1","1","1","20","1064"
"2001","38631","London","Westminster","A4","PU","530668","181000","A301","A301/A4200","0.18","211","221","1070","134","204","41","3","2","1","0","0","46","1675"
"2001","39028","London","Westminster","A202","PU","529881","178358","A3213","A3212","0.12","79","104","1309","71","237","68","7","2","2","1","2","82","1802"
"2001","46119","London","Westminster","A4","PU","530018","180495","Haymarket","St Martins Pl","0.18","135","198","1883","150","214","68","5","2","1","0","0","77","2522"
"2001","46120","London","Westminster","A4","PU","528000","179760","A315/A3216","Hyde Park Corner","0.43","324","829","6812","494","1323","144","10","14","4","5","4","181","9638"
"2001","46155","London","Westminster","A5","PU","526800","182000","A5205","A501","0.55","230","226","4630","172","683","144","17","6","8","3","3","182","5894"
"2001","46433","London","Westminster","A40","PU","529500","181330","A4201","LA Boundary","0.43","470","126","1343","259","161","22","2","0","1","0","0","25","1914"
"2001","46469","London","Westminster","A41","PU","527850","181700","Portman Sq (north)","York St","0.31","92","120","1746","182","226","36","4","6","3","1","1","50","2324"
"2001","47088","London","Westminster","A404","PU","525000","182070","A4207","A40","1.24","308","478","7706","246","987","179","36","29","6","3","5","258","9674"
"2001","47661","London","Westminster","A3211","PU","530340","180000","A302","A400","0.37","181","373","1834","31","308","65","11","3","1","1","0","82","2628"
"2001","47665","London","Westminster","A3217","PU","528600","179260","Eccleston St","Grosvenor Place","0.18","87","116","1308","10","161","39","3","0","1","1","2","47","1643"
